School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Phoenix Academy Public Charter High School Springfield (District) - Phoenix Academy Public Charter High School Springfield,35080505,     175,     112,  64.0,  36.1,,  75.0,  52.0
Phoenix Charter Academy (District) - Phoenix Charter Academy,04930505,     185,      99,  53.5,  36.7,,  42.9,  31.3
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,04940205,     209,       1,   0.5,   0.0,   0.0,   0.0,   1.9
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),35060505,     230,       1,   0.4,   1.5,   0.0,   0.0,   0.0
Pioneer Valley - Pioneer Valley Regional,07500505,     153,       3,   2.0,   0.0,   5.4,   0.0,   4.2
Pioneer Valley Chinese Immersion Charter (District) - Pioneer Valley Chinese Immersion Charter School,04970205,     133,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,04790505,     258,       3,   1.2,   4.2,   0.0,   0.0,   0.0
Pittsfield - Eagle Education Academy,02360525,      16,       4,  25.0,  14.3,,,
Pittsfield - Pittsfield High,02360505,     665,      23,   3.5,   2.8,   1.8,   5.2,   4.1
Pittsfield - Pittsfield Public Virtual Academy,02360705,      72,       9,  12.5,  22.2,  17.6,   9.1,   0.0
Pittsfield - Taconic High,02360510,     832,      20,   2.4,   2.6,   2.8,   1.5,   2.7
Plymouth - Plymouth North High,02390505,"   1,310",      11,   0.8,   0.8,   0.9,   0.3,   1.4
Plymouth - Plymouth South High,02390515,"   1,049",       9,   0.9,   0.4,   0.0,   1.9,   1.2
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,04870550,     311,       1,   0.3,   0.0,   1.2,   0.0,   0.0
Quabbin - Quabbin Regional High School,07530505,     611,      13,   2.1,   1.6,   1.4,   3.1,   2.5
Quaboag Regional - Quaboag Regional High,07780505,     341,      12,   3.5,   0.0,   5.6,   4.1,   4.2
Quincy - North Quincy High,02430510,"   1,384",      10,   0.7,   0.6,   1.4,   0.6,   0.3
Quincy - Quincy High,02430505,"   1,465",      23,   1.6,   0.8,   1.7,   2.1,   1.6
Ralph C Mahar - Ralph C Mahar Regional,07550505,     337,      19,   5.6,   4.9,  11.0,   4.6,   2.7
Randolph - Randolph High,02440505,     592,      28,   4.7,   1.1,   5.0,   5.3,   8.6
Reading - Reading Memorial High,02460505,"   1,135",       9,   0.8,   0.0,   0.3,   1.0,   1.7
Revere - Revere High,02480505,"   1,986",      57,   2.9,   2.6,   3.2,   3.6,   2.1
Revere - Seacoast School,02480520,      70,      23,  32.9,  50.0,,  32.0,  11.5
Rising Tide Charter Public (District) - Rising Tide Charter Public School,04830305,     291,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Rockland - Rockland Senior High,02510505,     543,       8,   1.5,   1.4,   0.8,   3.1,   0.7
Rockport - Rockport High,02520510,     231,       2,   0.9,   0.0,   0.0,   1.6,   1.7
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,04840505,     680,      14,   2.1,   2.1,   3.3,   1.5,   0.8
Salem - New Liberty Innovation School,02580510,      54,      15,  27.8,  16.7,   8.3,  41.2,  31.6
Salem - Salem High,02580505,     798,      11,   1.4,   0.4,   2.6,   2.6,   0.0
Salem - Salem Prep High School,02580515,      16,       3,  18.8,,,,  11.1
Salem Academy Charter (District) - Salem Academy Charter School,04850485,     280,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Sandwich - Sandwich High,02610505,     608,       7,   1.2,   2.1,   1.4,   1.2,   0.0
